motion_thresh,med_rsq,CI_95,n,age_l,age_u
45.0,0.961618721423,0.064887757143,70.0,6.0,18.0
45.0,0.96666467844,0.0684284943368,80.0,6.0,18.0
45.0,0.968599460561,0.0541208890679,90.0,6.0,18.0
45.0,0.97271242695,0.0527515793299,100.0,6.0,18.0
50.0,0.74106547441,0.396975847569,10.0,6.0,18.0
50.0,0.867091408835,0.262626320821,20.0,6.0,18.0
50.0,0.911642393893,0.13767501027,30.0,6.0,18.0
50.0,0.934443514331,0.11839504484,40.0,6.0,18.0
50.0,0.945383728873,0.0969194208216,50.0,6.0,18.0
50.0,0.954287475499,0.0715532355496,60.0,6.0,18.0
50.0,0.960500585974,0.0611367398592,70.0,6.0,18.0
50.0,0.966743664011,0.0610130692019,80.0,6.0,18.0
50.0,0.9705675368,0.0402026858538,90.0,6.0,18.0
50.0,0.972940347309,0.0401017438962,100.0,6.0,18.0
55.0,0.73236434138,0.460748790236,10.0,6.0,18.0
55.0,0.866081532366,0.195462709602,20.0,6.0,18.0
55.0,0.911383022322,0.229677112958,30.0,6.0,18.0
55.0,0.932590897638,0.10982253095,40.0,6.0,18.0
55.0,0.945794305702,0.0716856206312,50.0,6.0,18.0
55.0,0.951209853153,0.0659709189525,60.0,6.0,18.0
55.0,0.958624361003,0.0690946436807,70.0,6.0,18.0
55.0,0.965852805579,0.0550765691319,80.0,6.0,18.0
55.0,0.971434196365,0.049569302315,90.0,6.0,18.0
55.0,0.973470716925,0.0423545582528,100.0,6.0,18.0
60.0,0.734327962554,0.354898752232,10.0,6.0,18.0
60.0,0.872333684809,0.231710034368,20.0,6.0,18.0
60.0,0.911496385345,0.181875764499,30.0,6.0,18.0
60.0,0.929092113276,0.128851028264,40.0,6.0,18.0
60.0,0.946157227299,0.10699692714,50.0,6.0,18.0
60.0,0.954068104127,0.0596447607228,60.0,6.0,18.0
60.0,0.961197289497,0.0670358917978,70.0,6.0,18.0
60.0,0.964626677787,0.0650124259021,80.0,6.0,18.0
60.0,0.969412468788,0.0503865631162,90.0,6.0,18.0
60.0,0.972405014716,0.0544465215027,100.0,6.0,18.0
65.0,0.73594428338,0.358856475676,10.0,6.0,18.0
65.0,0.855387610297,0.22998522553,20.0,6.0,18.0
65.0,0.911074941102,0.159593037613,30.0,6.0,18.0
65.0,0.930638323195,0.135659976425,40.0,6.0,18.0
65.0,0.947028164761,0.0775450618687,50.0,6.0,18.0
65.0,0.956015993924,0.0795170948819,60.0,6.0,18.0
65.0,0.96206899914,0.0468781792546,70.0,6.0,18.0
65.0,0.967310972001,0.0563733628385,80.0,6.0,18.0
65.0,0.970101370172,0.0441681427539,90.0,6.0,18.0
65.0,0.971846712257,0.090399030153,100.0,6.0,18.0
70.0,0.735814177145,0.405862457664,10.0,6.0,18.0
70.0,0.857771734794,0.280438578838,20.0,6.0,18.0
70.0,0.906468501086,0.132387654065,30.0,6.0,18.0
70.0,0.934544619344,0.120755290977,40.0,6.0,18.0
70.0,0.94606124138,0.0557357712863,50.0,6.0,18.0
70.0,0.954723434906,0.0749681731277,60.0,6.0,18.0
70.0,0.961670825696,0.0472406527982,70.0,6.0,18.0
70.0,0.967062946892,0.0570171641977,80.0,6.0,18.0
70.0,0.968547531086,0.0577535035706,90.0,6.0,18.0
70.0,0.973558777368,0.0414938920461,100.0,6.0,18.0
75.0,0.752795016972,0.33148248064,10.0,6.0,18.0
75.0,0.86286895424,0.336253986682,20.0,6.0,18.0
75.0,0.911239398545,0.177422651647,30.0,6.0,18.0
75.0,0.929507804583,0.131256565564,40.0,6.0,18.0
75.0,0.943704867706,0.0892194081752,50.0,6.0,18.0
75.0,0.95174932403,0.0736406977084,60.0,6.0,18.0
75.0,0.961444343354,0.0528770083204,70.0,6.0,18.0
75.0,0.960994909688,0.0564754157596,80.0,6.0,18.0
75.0,0.968647925217,0.0683297755385,90.0,6.0,18.0
75.0,0.971707569297,0.066627127999,100.0,6.0,18.0
80.0,0.727153131865,0.584541011481,10.0,6.0,18.0
80.0,0.860774299453,0.267847499835,20.0,6.0,18.0
80.0,0.900638551308,0.15445671582,30.0,6.0,18.0
80.0,0.93141379185,0.0877844786708,40.0,6.0,18.0
80.0,0.946399743001,0.099318698066,50.0,6.0,18.0
80.0,0.956100551101,0.0511815515299,60.0,6.0,18.0
80.0,0.961752386076,0.064090970705,70.0,6.0,18.0
80.0,0.96508019429,0.0666139881027,80.0,6.0,18.0
80.0,0.96820348127,0.0464820549216,90.0,6.0,18.0
80.0,0.972963362265,0.049491435723,100.0,6.0,18.0
,0.7495287154,0.267479875305,10.0,6.0,18.0
,0.86200725653,0.12201874751,20.0,6.0,18.0
,0.91305888532,0.0963001727131,30.0,6.0,18.0
,0.933995782202,0.0595394551494,40.0,6.0,18.0
,0.944659879796,0.080111182838,50.0,6.0,18.0
,0.955411763376,0.0418793036005,60.0,6.0,18.0
,0.960778651463,0.0318861339338,70.0,6.0,18.0
,0.966286123434,0.037859492077,80.0,6.0,18.0
,0.969868717823,0.0350623941039,90.0,6.0,18.0
,0.972018887653,0.033398038711,100.0,6.0,18.0
,0.735510222924,0.450659545934,10.0,6.0,18.0
,0.863754828543,0.168503540867,20.0,6.0,18.0
,0.90588788246,0.130810051584,30.0,6.0,18.0
,0.934115169593,0.0754567928807,40.0,6.0,18.0
,0.945366018341,0.0873730343807,50.0,6.0,18.0
,0.956278891101,0.0804785741707,60.0,6.0,18.0
,0.961602281169,0.0526646373212,70.0,6.0,18.0
,0.965862837732,0.0498988654093,80.0,6.0,18.0
,0.969989197174,0.0318435822543,90.0,6.0,18.0
,0.972643771908,0.04609227169,100.0,6.0,18.0
,0.762934566388,0.298367641404,10.0,6.0,18.0
,0.87113915984,0.169293889978,20.0,6.0,18.0
,0.913573302517,0.0934730266486,30.0,6.0,18.0
,0.933776118077,0.081075497084,40.0,6.0,18.0
,0.946507976383,0.069308184905,50.0,6.0,18.0
,0.956670230184,0.0687909473952,60.0,6.0,18.0
,0.961101203114,0.0581451822701,70.0,6.0,18.0
,0.966561045206,0.0431028936837,80.0,6.0,18.0
,0.969613093689,0.0354735017192,90.0,6.0,18.0
,0.972162165978,0.0403675573223,100.0,6.0,18.0
,0.738419882765,0.384217050653,10.0,6.0,18.0
,0.870201412436,0.179058267232,20.0,6.0,18.0
,0.914885075209,0.0976183049545,30.0,6.0,18.0
,0.93393003935,0.0836957022044,40.0,6.0,18.0
,0.946425674602,0.054089546449,50.0,6.0,18.0
,0.956322551058,0.0780085731304,60.0,6.0,18.0
,0.963196835275,0.0600245815061,70.0,6.0,18.0
,0.964511457555,0.0491911322146,80.0,6.0,18.0
,0.971115950882,0.0319073678863,90.0,6.0,18.0
,0.974248503814,0.0342003305445,100.0,6.0,18.0
,0.751111330092,0.408981187149,10.0,6.0,18.0
,0.868506798617,0.180392756213,20.0,6.0,18.0
,0.911515723764,0.136088928586,30.0,6.0,18.0
,0.929972080193,0.0902137328657,40.0,6.0,18.0
,0.947227870633,0.0873681431718,50.0,6.0,18.0
,0.953596070119,0.0647773718719,60.0,6.0,18.0
,0.960937495978,0.0557006165967,70.0,6.0,18.0
,0.963791870321,0.0478938740393,80.0,6.0,18.0
,0.969498425385,0.0521994157403,90.0,6.0,18.0
,0.974026076297,0.0269450854286,100.0,6.0,18.0
,0.760591171158,0.354904597279,10.0,6.0,18.0
,0.86748577087,0.214962412184,20.0,6.0,18.0
,0.906438392134,0.130897200948,30.0,6.0,18.0
,0.93545533565,0.0839144526589,40.0,6.0,18.0
,0.94808040836,0.0957542231875,50.0,6.0,18.0
,0.957237487043,0.060944048106,60.0,6.0,18.0
,0.960494157638,0.0614026432356,70.0,6.0,18.0
,0.965908427884,0.0484658130318,80.0,6.0,18.0
,0.970169522532,0.0476236686393,90.0,6.0,18.0
,0.973336836073,0.0391681599058,100.0,6.0,18.0
,0.735544798755,0.37573137895,10.0,6.0,18.0
,0.871578123192,0.169412562016,20.0,6.0,18.0
,0.909403784895,0.127435489635,30.0,6.0,18.0
,0.936115879086,0.0925862599507,40.0,6.0,18.0
,0.948316993268,0.0905837466587,50.0,6.0,18.0
,0.955182771053,0.0733227835698,60.0,6.0,18.0
,0.961650410111,0.0534813787913,70.0,6.0,18.0
,0.966168424816,0.0522914920908,80.0,6.0,18.0
,0.969389431711,0.0593635830066,90.0,6.0,18.0
,0.974218534693,0.0491803631487,100.0,6.0,18.0
,0.738289688007,0.340005263532,10.0,6.0,18.0
,0.861847101328,0.19665312955,20.0,6.0,18.0
,0.912003488215,0.1260276905,30.0,6.0,18.0
,0.932970704473,0.113572743504,40.0,6.0,18.0
,0.948221375785,0.0918764578873,50.0,6.0,18.0
,0.949635414102,0.080074059416,60.0,6.0,18.0
,0.961234398684,0.0471801359596,70.0,6.0,18.0
,0.964496210513,0.0606240362324,80.0,6.0,18.0
,0.97078799424,0.049302518043,90.0,6.0,18.0
,0.972492042855,0.046024979105,100.0,6.0,18.0
,0.751659953008,0.377832257859,10.0,6.0,18.0
,0.866161887932,0.342140723002,20.0,6.0,18.0
,0.911895291403,0.125501562012,30.0,6.0,18.0
,0.931706860577,0.111926746536,40.0,6.0,18.0
,0.947507197291,0.0572931513228,50.0,6.0,18.0
,0.95458615574,0.047417939802,60.0,6.0,18.0
,0.961618721423,0.064887757143,70.0,6.0,18.0
,0.96666467844,0.0684284943368,80.0,6.0,18.0
,0.968599460561,0.0541208890679,90.0,6.0,18.0
,0.97271242695,0.0527515793299,100.0,6.0,18.0
,0.74106547441,0.396975847569,10.0,6.0,18.0
,0.867091408835,0.262626320821,20.0,6.0,18.0
,0.911642393893,0.13767501027,30.0,6.0,18.0
,0.934443514331,0.11839504484,40.0,6.0,18.0
,0.945383728873,0.0969194208216,50.0,6.0,18.0
,0.954287475499,0.0715532355496,60.0,6.0,18.0
,0.960500585974,0.0611367398592,70.0,6.0,18.0
,0.966743664011,0.0610130692019,80.0,6.0,18.0
,0.9705675368,0.0402026858538,90.0,6.0,18.0
,0.972940347309,0.0401017438962,100.0,6.0,18.0
,0.73236434138,0.460748790236,10.0,6.0,18.0
,0.866081532366,0.195462709602,20.0,6.0,18.0
,0.911383022322,0.229677112958,30.0,6.0,18.0
,0.932590897638,0.10982253095,40.0,6.0,18.0
,0.945794305702,0.0716856206312,50.0,6.0,18.0
,0.951209853153,0.0659709189525,60.0,6.0,18.0
,0.958624361003,0.0690946436807,70.0,6.0,18.0
,0.965852805579,0.0550765691319,80.0,6.0,18.0
,0.971434196365,0.049569302315,90.0,6.0,18.0
,0.973470716925,0.0423545582528,100.0,6.0,18.0
,0.734327962554,0.354898752232,10.0,6.0,18.0
,0.872333684809,0.231710034368,20.0,6.0,18.0
,0.911496385345,0.181875764499,30.0,6.0,18.0
,0.929092113276,0.128851028264,40.0,6.0,18.0
,0.946157227299,0.10699692714,50.0,6.0,18.0
,0.954068104127,0.0596447607228,60.0,6.0,18.0
,0.961197289497,0.0670358917978,70.0,6.0,18.0
,0.964626677787,0.0650124259021,80.0,6.0,18.0
,0.969412468788,0.0503865631162,90.0,6.0,18.0
,0.972405014716,0.0544465215027,100.0,6.0,18.0
,0.73594428338,0.358856475676,10.0,6.0,18.0
,0.855387610297,0.22998522553,20.0,6.0,18.0
,0.911074941102,0.159593037613,30.0,6.0,18.0
,0.930638323195,0.135659976425,40.0,6.0,18.0
,0.947028164761,0.0775450618687,50.0,6.0,18.0
,0.956015993924,0.0795170948819,60.0,6.0,18.0
,0.96206899914,0.0468781792546,70.0,6.0,18.0
,0.967310972001,0.0563733628385,80.0,6.0,18.0
,0.970101370172,0.0441681427539,90.0,6.0,18.0
,0.971846712257,0.090399030153,100.0,6.0,18.0
,0.735814177145,0.405862457664,10.0,6.0,18.0
,0.857771734794,0.280438578838,20.0,6.0,18.0
,0.906468501086,0.132387654065,30.0,6.0,18.0
,0.934544619344,0.120755290977,40.0,6.0,18.0
,0.94606124138,0.0557357712863,50.0,6.0,18.0
,0.954723434906,0.0749681731277,60.0,6.0,18.0
,0.961670825696,0.0472406527982,70.0,6.0,18.0
,0.967062946892,0.0570171641977,80.0,6.0,18.0
,0.968547531086,0.0577535035706,90.0,6.0,18.0
,0.973558777368,0.0414938920461,100.0,6.0,18.0
,0.752795016972,0.33148248064,10.0,6.0,18.0
,0.86286895424,0.336253986682,20.0,6.0,18.0
,0.911239398545,0.177422651647,30.0,6.0,18.0
,0.929507804583,0.131256565564,40.0,6.0,18.0
,0.943704867706,0.0892194081752,50.0,6.0,18.0
,0.95174932403,0.0736406977084,60.0,6.0,18.0
,0.961444343354,0.0528770083204,70.0,6.0,18.0
,0.960994909688,0.0564754157596,80.0,6.0,18.0
,0.968647925217,0.0683297755385,90.0,6.0,18.0
,0.971707569297,0.066627127999,100.0,6.0,18.0
,0.727153131865,0.584541011481,10.0,6.0,18.0
,0.860774299453,0.267847499835,20.0,6.0,18.0
,0.900638551308,0.15445671582,30.0,6.0,18.0
,0.93141379185,0.0877844786708,40.0,6.0,18.0
,0.946399743001,0.099318698066,50.0,6.0,18.0
,0.956100551101,0.0511815515299,60.0,6.0,18.0
,0.961752386076,0.064090970705,70.0,6.0,18.0
,0.96508019429,0.0666139881027,80.0,6.0,18.0
,0.96820348127,0.0464820549216,90.0,6.0,18.0
,0.972963362265,0.049491435723,100.0,6.0,18.0
